Address,Date
https://www.heartharena.com/arena-run/6xy1ec,2015-01-05
https://www.heartharena.com/arena-run/ii1q3e,2015-01-06
https://www.heartharena.com/arena-run/y5ktdw,2015-01-06
https://www.heartharena.com/arena-run/0tmhf6,2015-01-07
https://www.heartharena.com/arena-run/2dg437,2015-01-10
https://www.heartharena.com/arena-run/36ks0t,2015-01-16
https://www.heartharena.com/arena-run/pbo2l6,2015-02-26
https://www.heartharena.com/arena-run/18670t,2015-02-26
https://www.heartharena.com/arena-run/j56f29,2015-02-27
https://www.heartharena.com/arena-run/dv18vo,2015-02-27
https://www.heartharena.com/arena-run/z3a3a2,2015-02-27
https://www.heartharena.com/arena-run/ra9r13,2015-02-28
https://www.heartharena.com/arena-run/xoc3p4,2015-03-01
https://www.heartharena.com/arena-run/mq0mxo,2015-03-01
https://www.heartharena.com/arena-run/76yg64,2015-03-01
https://www.heartharena.com/arena-run/w20585,2015-03-01
https://www.heartharena.com/arena-run/1iswhz,2015-03-02
https://www.heartharena.com/arena-run/6n1yx6,2015-03-02
https://www.heartharena.com/arena-run/t0wk62,2015-03-02
https://www.heartharena.com/arena-run/jqb79e,2015-03-03
https://www.heartharena.com/arena-run/6cu79a,2015-03-03
https://www.heartharena.com/arena-run/1wy2nm,2015-03-06
https://www.heartharena.com/arena-run/q8q0wl,2015-03-24
https://www.heartharena.com/arena-run/dx4e99,2015-03-24
https://www.heartharena.com/arena-run/m1vcp7,2015-03-27
https://www.heartharena.com/arena-run/11b1aa,2015-04-27
https://www.heartharena.com/arena-run/t032by,2016-06-22
https://www.heartharena.com/arena-run/27bz9x,2016-06-23
https://www.heartharena.com/arena-run/mkqp1c,2016-06-23
https://www.heartharena.com/arena-run/1w2n02,2016-06-23
https://www.heartharena.com/arena-run/lr9f92,2016-06-24
https://www.heartharena.com/arena-run/6w2wmn,2016-06-24
https://www.heartharena.com/arena-run/4pu8m1,2016-06-25
https://www.heartharena.com/arena-run/92q722,2016-06-26
https://www.heartharena.com/arena-run/yqq192,2016-06-26
https://www.heartharena.com/arena-run/p732em,2016-06-26
https://www.heartharena.com/arena-run/oig087,2016-06-27
https://www.heartharena.com/arena-run/3bs1u9,2016-06-27
https://www.heartharena.com/arena-run/18f014,2016-06-27
https://www.heartharena.com/arena-run/6037yj,2016-06-28
https://www.heartharena.com/arena-run/frwy53,2016-06-28
https://www.heartharena.com/arena-run/s86456,2016-06-28
https://www.heartharena.com/arena-run/07nlm3,2016-06-29
https://www.heartharena.com/arena-run/ee6424,2016-06-29
https://www.heartharena.com/arena-run/lb9k3i,2016-06-30
https://www.heartharena.com/arena-run/gw89aj,2016-07-01
https://www.heartharena.com/arena-run/72etuh,2016-07-01
https://www.heartharena.com/arena-run/3ljp68,2016-07-02
https://www.heartharena.com/arena-run/0trf60,2016-07-02
https://www.heartharena.com/arena-run/abp2vy,2016-07-02
https://www.heartharena.com/arena-run/6f6i58,2016-07-02
https://www.heartharena.com/arena-run/ev36sd,2016-07-03
https://www.heartharena.com/arena-run/txx5hz,2016-07-03
https://www.heartharena.com/arena-run/5t1l80,2016-07-03
https://www.heartharena.com/arena-run/ui439k,2016-07-03
https://www.heartharena.com/arena-run/r555jn,2016-07-04
https://www.heartharena.com/arena-run/5i2osn,2016-07-04
https://www.heartharena.com/arena-run/hy685z,2016-07-04
https://www.heartharena.com/arena-run/x392gt,2016-07-05
https://www.heartharena.com/arena-run/m9j5hs,2016-07-05
https://www.heartharena.com/arena-run/bs74z5,2016-07-05
https://www.heartharena.com/arena-run/8god4c,2016-07-05
https://www.heartharena.com/arena-run/9v3m94,2016-07-06
https://www.heartharena.com/arena-run/7nv4vs,2016-07-06
https://www.heartharena.com/arena-run/b9458u,2016-07-06
https://www.heartharena.com/arena-run/d069fa,2016-07-07
https://www.heartharena.com/arena-run/971xq3,2016-07-07
https://www.heartharena.com/arena-run/u9t6p7,2016-07-07
https://www.heartharena.com/arena-run/ed77l1,2016-07-08
https://www.heartharena.com/arena-run/72886s,2016-07-08
https://www.heartharena.com/arena-run/p7hu30,2016-07-08
https://www.heartharena.com/arena-run/w38sn5,2016-07-09
https://www.heartharena.com/arena-run/07q5v7,2016-07-09
https://www.heartharena.com/arena-run/hz08xj,2016-07-09
https://www.heartharena.com/arena-run/8ubj66,2016-07-10
https://www.heartharena.com/arena-run/45q48y,2016-07-10
https://www.heartharena.com/arena-run/re3jh7,2016-07-10
https://www.heartharena.com/arena-run/4ri7np,2016-07-10
https://www.heartharena.com/arena-run/b6iglt,2016-07-11
https://www.heartharena.com/arena-run/cfkta9,2016-07-11
https://www.heartharena.com/arena-run/3z26q7,2016-07-11
https://www.heartharena.com/arena-run/139ogn,2016-07-11
https://www.heartharena.com/arena-run/0vc19r,2016-07-12
https://www.heartharena.com/arena-run/9z1i4m,2016-07-12
https://www.heartharena.com/arena-run/7m1axx,2016-07-13
https://www.heartharena.com/arena-run/bk03l3,2016-07-13
https://www.heartharena.com/arena-run/76o0tj,2016-07-13
https://www.heartharena.com/arena-run/f815s6,2016-07-13
https://www.heartharena.com/arena-run/53ud8h,2016-07-14
https://www.heartharena.com/arena-run/0slw12,2016-07-14
https://www.heartharena.com/arena-run/x698ej,2016-07-14
https://www.heartharena.com/arena-run/0ba1n7,2016-07-15
